"","event","event_size","datetime","actor"
"117","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBN-GWM0-Y958-C144.xml#handEvent","26","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"118","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBF-CBF1-2RP6-W053.xml#crossEvent","9","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"119","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBF-CBF1-2RP6-W053.xml#flickEvent","7","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"120","http://www.theguardian.com/football/2010/apr/28/the-fiver-champions-league#knowEvent","1008","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"121","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBF-CBF1-2RP6-W023.xml#establishEvent","9","2010-04-28","http://dbpedia.org/resource/Samuel_Eto'o"
"122","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-P1V1-2S06-T0R3.xml#accessEvent","20","2010-04-28","http://dbpedia.org/resource/Kaká"
"123","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-10X1-2R6N-X02J.xml#performanceEvent","7","2010-04-28","http://dbpedia.org/resource/Jimmy_Conrad"
"124","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-10X1-2R6N-X02J.xml#dislikeEvent","7","2010-04-28","http://dbpedia.org/resource/Fredy_Montero"
"125","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-10X1-2R6N-X02J.xml#getEvent","8","2010-04-28","http://dbpedia.org/resource/Sunil_Chhetri"
"127","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-P1V1-2S06-T0R3.xml#scoreEvent","7","2010-04-28","http://dbpedia.org/resource/Ronaldo"
"128","http://www.theguardian.com/football/2010/apr/28/the-fiver-champions-league#sayEvent","7685","2010-04-28","http://dbpedia.org/resource/Craig_Moore"
"129","http://www.theguardian.com/football/2010/apr/28/the-fiver-champions-league#doEvent","315","2010-04-28","http://dbpedia.org/resource/Shay_Given"
"130","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YC6-H8P0-YBYD-2118.xml#battlingEvent","6","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"131","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YC6-H8P0-YBYD-2118.xml#fallEvent","10","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"132","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBN-GWM0-Y958-C144.xml#scoreEvent","63","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"133","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBN-GWM0-Y958-C144.xml#playEvent","325","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"134","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBN-GWM0-Y958-C144.xml#partEvent","14","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"135","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBF-CBF1-2RP6-W053.xml#headEvent","7","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"136","http://www.theguardian.com/football/2010/apr/28/the-fiver-champions-league#leaveEvent","68","2010-04-28","http://dbpedia.org/resource/Robbie_Blake"
