"","event","event_size","datetime","actor"
"100","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/16/7Y18-98M1-2R6N-83XK.xml#desireEvent","6","2010-03-16","http://dbpedia.org/resource/David_Beckham"
"101","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/16/7Y18-T870-YB39-0551.xml#visitEvent","10","2010-03-16","http://dbpedia.org/resource/David_Beckham"
"102","http://www.theguardian.com/football/2010/mar/16/david-beckham-injury-england#addEvent","78","2010-03-16","http://dbpedia.org/resource/David_Beckham"
"103","http://www.theguardian.com/football/2010/mar/16/david-beckham-injury-england#understandEvent","54","2010-03-16","http://dbpedia.org/resource/David_Beckham"
"104","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/16/7Y1P-2RF0-Y9NR-H1S1.xml#addEvent","6","2010-03-16","http://dbpedia.org/resource/David_Beckham"
"105","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/16/7Y1C-7HH1-2R2Y-83PG.xml#enjoyEvent","10","2010-03-16","http://dbpedia.org/resource/John_Terry"
"106","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/16/7Y1B-2XP1-2R4F-7148.xml#visitEvent","58","2010-03-16","http://dbpedia.org/resource/David_Beckham"
"107","http://www.theguardian.com/football/2010/mar/16/david-beckham-injury-england#dismissEvent","54","2010-03-16","http://dbpedia.org/resource/David_Beckham"
"108","http://www.theguardian.com/football/2010/mar/16/david-beckham-injury-england#careerEvent","689","2010-03-16","http://dbpedia.org/resource/David_Beckham"
"109","http://www.theguardian.com/football/2010/mar/16/david-beckham-england-2018-andy-anson#wantEvent","580","2010-03-16","http://dbpedia.org/resource/David_Beckham"
"110","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/15/7Y0X-85K1-2R4D-H4CP.xml#followEvent","8","2010-03-15","http://dbpedia.org/resource/Arjen_Robben"
"111","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/16/7Y1B-SB11-2RM7-82FX.xml#supportEvent","22","2010-03-16","http://dbpedia.org/resource/Frank_Lampard"
"112","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/15/7Y12-5NW1-2R6N-82M7.xml#understandEvent","7","2010-03-15","http://dbpedia.org/resource/David_Beckham"
"113","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/15/7Y12-5NW1-2R6N-82M7.xml#protectEvent","8","2010-03-15","http://dbpedia.org/resource/El_Hadji_Diouf"
"114","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/14/7Y0X-7PH0-Y9M5-152W.xml#wantEvent","7","2010-03-14","http://dbpedia.org/resource/Steven_Gerrard"
"115","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/14/7Y0X-7PJ0-Y9M5-1028.xml#fanEvent","56","2010-03-14","http://dbpedia.org/resource/Joe_Cole"
"116","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/14/7Y1B-55S0-Y9NW-524W.xml#believeEvent","9","2010-03-14","http://dbpedia.org/resource/David_Beckham"
"117","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/14/54MV-RC91-JDV6-X4R4.xml#thanksEvent","7","2010-03-14","http://dbpedia.org/resource/Rory_Fallon"
"118","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/14/54MV-RC91-JDV6-X4RF.xml#believeEvent","9","2010-03-14","http://dbpedia.org/resource/Iván_Zamorano"
"119","http://www.theguardian.com/sport/2010/mar/14/ronaldo-announces-retirement-corinthians#careerEvent","39","2010-03-14","http://dbpedia.org/resource/Ronaldo"
"120","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/14/7Y1B-55S0-Y9NW-524W.xml#believeEvent","9","2010-03-14","http://dbpedia.org/resource/David_Beckham"
"121","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/14/7Y1B-55S0-Y9NW-524W.xml#fanEvent","13","2010-03-14","http://dbpedia.org/resource/David_Beckham"
"122","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/14/54MV-RC91-JDV6-X4R9.xml#addEvent","6","2010-03-14","http://dbpedia.org/resource/José_Bosingwa"
"123","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/14/54MV-RC91-JDV6-X4R9.xml#enjoyEvent","7","2010-03-14","http://dbpedia.org/resource/Pepe_(footballer_born_1983)"
"124","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/12/7Y0G-CD61-2SPK-H2BJ.xml#relationEvent","14","2010-03-12","http://dbpedia.org/resource/Didier_Drogba"
"125","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/12/7Y0M-CD81-2R6N-T2XM.xml#addEvent","10","2010-03-12","http://dbpedia.org/resource/Iker_Casillas"
"126","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/12/7Y0M-CD81-2R6N-T2XM.xml#believeEvent","12","2010-03-12","http://dbpedia.org/resource/Wayne_Rooney"
"127","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/12/7Y0F-KV80-Y9M5-1004.xml#wantEvent","8","2010-03-12","http://dbpedia.org/resource/Wayne_Rooney"
"128","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/12/7Y0M-CD81-2R6N-T2XM.xml#believeEvent","12","2010-03-12","http://dbpedia.org/resource/Iker_Casillas"
"129","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/12/7Y0M-CD81-2R6N-T2XM.xml#believeEvent","12","2010-03-12","http://dbpedia.org/resource/Iker_Casillas"
"130","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/11/7Y0D-X800-Y9NS-B421.xml#careerEvent","18","2010-03-11","http://dbpedia.org/resource/Lionel_Messi"
"131","http://www.theguardian.com/football/2010/mar/11/wayne-rooney-world-cup#cheerEvent","16","2010-03-11","http://dbpedia.org/resource/Wayne_Rooney"
"132","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/11/7Y0D-X800-Y9NS-B421.xml#welcomeEvent","6","2010-03-11","http://dbpedia.org/resource/Lionel_Messi"
"133","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/10/7Y06-SHJ0-YB58-K08B.xml#missEvent","19","2010-03-10","http://dbpedia.org/resource/Karim_Benzema"
"134","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/10/7Y3P-6RR0-YBD4-113K.xml#loveEvent","24","2010-03-10","http://dbpedia.org/resource/Robbie_Keane"
"135","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/10/7Y3P-6RR0-YBD4-113K.xml#wantEvent","16","2010-03-10","http://dbpedia.org/resource/Robbie_Keane"
"136","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/10/7Y0R-V071-2R69-R184.xml#believeEvent","22","2010-03-10","http://dbpedia.org/resource/Siem_de_Jong"
"137","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/10/7Y3P-6RR0-YBD4-113K.xml#careerEvent","10","2010-03-10","http://dbpedia.org/resource/Robbie_Keane"
"138","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/10/7Y3P-6RR0-YBD4-113K.xml#wantEvent","16","2010-03-10","http://dbpedia.org/resource/Robbie_Keane"
"139","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/10/7Y01-MTJ0-Y9RS-32PH.xml#missEvent","7","2010-03-10","http://dbpedia.org/resource/Wes_Brown"
"140","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/09/7XYV-HYY1-2R6W-S1BB.xml#backEvent","5","2010-03-09","http://dbpedia.org/resource/Paul_Furlong"
"141","http://www.theguardian.com/football/blog/2010/mar/08/five-things-learned-football-weekend#dislikeEvent","21","2010-03-08","http://dbpedia.org/resource/Robbie_Savage"
"142","http://www.theguardian.com/football/blog/2010/mar/08/five-things-learned-football-weekend#addEvent","27","2010-03-08","http://dbpedia.org/resource/Robbie_Savage"
"143","http://www.theguardian.com/football/2010/mar/06/portsmouth-birmingham-fa-cup-live#standingEvent","21","2010-03-06","http://dbpedia.org/resource/Tony_Naylor"
"144","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/06/7XYM-XXK1-2RY2-940G.xml#careerEvent","9","2010-03-06","http://dbpedia.org/resource/David_Villa"
"145","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/06/7YBF-K1F0-YB6M-G1X1.xml#wantEvent","7","2010-03-06","http://dbpedia.org/resource/Landon_Donovan"
"146","http://www.theguardian.com/football/2010/mar/05/china-portugal-cristiano-ronaldo-world-cup#wantEvent","1152","2010-03-05","http://dbpedia.org/resource/Djibril_Cissé"
"147","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/04/7XXS-YS50-Y9NY-G03G.xml#likesEvent","14","2010-03-04","http://dbpedia.org/resource/David_Villa"
"148","http://www.theguardian.com/football/2010/mar/04/spain-world-cup-favourites#edgeEvent","63","2010-03-04","http://dbpedia.org/resource/Sergio_Ramos"
"149","http://www.theguardian.com/football/2010/mar/04/spain-world-cup-favourites#strikeEvent","133","2010-03-04","http://dbpedia.org/resource/Sergio_Ramos"
"150","http://www.theguardian.com/football/2010/mar/04/spain-world-cup-favourites#winEvent","126","2010-03-04","http://dbpedia.org/resource/Sergio_Ramos"
"151","http://news.bbc.co.uk/sport2/hi/football/teams/a/arsenal/8552245.stm#believeEvent","76","2010-03-05","http://dbpedia.org/resource/Theo_Walcott"
"152","http://www.theguardian.com/football/2010/mar/04/spain-world-cup-favourites#footEvent","56","2010-03-04","http://dbpedia.org/resource/Mark_Milligan"
"153","http://www.theguardian.com/football/2010/mar/04/spain-world-cup-favourites#sayEvent","112","2010-03-04","http://dbpedia.org/resource/Sergio_Ramos"
"154","http://www.theguardian.com/football/2010/mar/04/spain-world-cup-favourites#sitEvent","77","2010-03-04","http://dbpedia.org/resource/Sergio_Ramos"
